ZIP A,ZIP B,Lat_A,Lon_A,Lat_B,Lon_B
1330,1330,19.3698625,-99.26816420000002,19.3698625,-99.26816420000002
52774,52774,19.4223752,-99.29241909999999,19.4223752,-99.29241909999999
5500,11200,19.3401429,-99.3094019,19.4477344,-99.21413659999999
52774,52774,19.4223752,-99.29241909999999,19.4223752,-99.29241909999999
4230,55076,19.3542204,-99.12624609999999,19.5850596,-99.00876009999999
4100,3920,19.3538129,-99.16360510000001,19.3726839,-99.18367549999999
52172,11000,19.2722311,-99.57569339999999,19.420166,-99.2203687
11230,53569,19.4574859,-99.2106745,19.4616205,-99.223485
6100,6140,19.4093682,-99.1719095,19.4149803,-99.17744619999999
3020,3320,19.3940734,-99.1539178,19.3681203,-99.1573774
53125,52784,19.5138612,-99.2605428,19.4201558,-99.2494583
54769,54870,19.5983736,-99.19267409999999,19.6745962,-99.1719095
11800,1070,19.4002495,-99.17744619999999,19.3445588,-99.1864442
3560,3510,19.3704998,-99.1393889,19.3965929,-99.13316309999999
52172,11000,19.2722311,-99.57569339999999,19.420166,-99.2203687
11800,1070,19.4002495,-99.17744619999999,19.3445588,-99.1864442
1710,10000,19.3574644,-99.207905,19.3145421,-99.24114589999999
52763,52764,19.3916612,-99.2882606,19.379596,-99.2938053
4120,3100,19.3545104,-99.1497664,19.3813647,-99.16802390000001
3300,3810,19.3648912,-99.1483827,19.3943574,-99.17744619999999
1700,6400,19.3418937,-99.22452369999999,19.4468279,-99.1594532
5500,11200,19.3401429,-99.3094019,19.4477344,-99.21413659999999
5270,11830,19.3669014,-99.297271,19.4057906,-99.19890459999999
4920,9440,19.3064523,-99.1241711,19.3731619,-99.1303962
6140,11590,19.4149803,-99.17744619999999,19.4326577,-99.17744619999999
1780,1780,19.3392293,-99.21898379999999,19.3392293,-99.21898379999999
11800,4100,19.4002495,-99.17744619999999,19.3538129,-99.16360510000001
6100,11590,19.4093682,-99.1719095,19.4326577,-99.17744619999999
11560,11560,19.4339168,-99.18787209999999,19.4339168,-99.18787209999999
6720,52784,19.4179232,-99.1483827,19.4201558,-99.2494583
6500,52770,19.4301322,-99.16914129999999,19.4281431,-99.2660856
11950,5120,19.4005243,-99.23006409999999,19.3904162,-99.25500029999999
10200,1330,19.3271667,-99.22452369999999,19.3698625,-99.26816420000002
11950,5120,19.4005243,-99.23006409999999,19.3904162,-99.25500029999999
11500,53930,19.4398745,-99.211348,19.4295399,-99.24235809999999
3100,3610,19.3813647,-99.16802390000001,19.3821451,-99.1421561
52925,52925,19.5822822,-99.233527,19.5822822,-99.233527
3100,3100,19.3813647,-99.16802390000001,19.3813647,-99.16802390000001
52764,52764,19.379596,-99.2938053,19.379596,-99.2938053
6700,11540,19.4173639,-99.1594532,19.4315336,-99.19959689999999
52930,62330,19.5458167,-99.2979641,18.9396574,-99.2023662
11400,11400,19.4531418,-99.1802147,19.4531418,-99.1802147
11550,11560,19.4318149,-99.19405859999999,19.4339168,-99.18787209999999
1710,10000,19.3574644,-99.207905,19.3145421,-99.24114589999999
6600,6600,19.4276061,-99.16083719999999,19.4276061,-99.16083719999999
6700,11850,19.4173639,-99.1594532,19.4114729,-99.18852079999999
52930,62330,19.5458167,-99.2979641,18.9396574,-99.2023662
3100,3104,19.3813647,-99.16802390000001,19.3712091,-99.16914129999999
11800,3800,19.4002495,-99.17744619999999,19.3880449,-99.185752
52764,52764,19.379596,-99.2938053,19.379596,-99.2938053
11000,11000,19.420166,-99.2203687,19.420166,-99.2203687
11590,11550,19.4326577,-99.17744619999999,19.4318149,-99.19405859999999
1860,5348,19.3185335,-99.26400699999999,19.3568681,-99.2756998
52774,52774,19.4223752,-99.29241909999999,19.4223752,-99.29241909999999
52930,62330,19.5458167,-99.2979641,18.9396574,-99.2023662
14390,14390,19.2909523,-99.1248628,19.2909523,-99.1248628
10200,10200,19.3271667,-99.22452369999999,19.3271667,-99.22452369999999
6760,3000,19.405299,-99.16498910000001,19.403193,-99.1556476
10200,4660,19.3271667,-99.22452369999999,19.3058724,-99.1577234
11000,11910,19.420166,-99.2203687,19.3909815,-99.24391659999999
6140,6470,19.4149803,-99.17744619999999,19.4392516,-99.16360510000001
96760,6760,17.989988,-94.5663113,19.405299,-99.16498910000001
3340,3310,19.359984,-99.1580693,19.3685426,-99.16360510000001
1860,5348,19.3185335,-99.26400699999999,19.3568681,-99.2756998
11000,11000,19.420166,-99.2203687,19.420166,-99.2203687
3104,3100,19.3712091,-99.16914129999999,19.3813647,-99.16802390000001
6100,6700,19.4093682,-99.1719095,19.4173639,-99.1594532
6100,6100,19.4093682,-99.1719095,19.4093682,-99.1719095
11950,52789,19.4005243,-99.23006409999999,19.3885825,-99.2764794
1860,5348,19.3185335,-99.26400699999999,19.3568681,-99.2756998
53140,11510,19.4939478,-99.2466874,19.4368626,-99.2106745
11000,11000,19.420166,-99.2203687,19.420166,-99.2203687
11000,11000,19.420166,-99.2203687,19.420166,-99.2203687
1860,5348,19.3185335,-99.26400699999999,19.3568681,-99.2756998
11560,11510,19.4339168,-99.18787209999999,19.4368626,-99.2106745
1180,1180,19.3868525,-99.19475090000002,19.3868525,-99.19475090000002
3600,52938,19.3807458,-99.15530160000002,19.574132,-99.3201479
10400,14240,19.319032,-99.2252163,19.2919642,-99.2217537
11000,11540,19.420166,-99.2203687,19.4315336,-99.19959689999999
3600,52938,19.3807458,-99.15530160000002,19.574132,-99.3201479
3303,3510,19.3657583,-99.1511501,19.3965929,-99.13316309999999
3810,1700,19.3943574,-99.17744619999999,19.3418937,-99.22452369999999
4980,3570,19.3108788,-99.1386972,19.3660806,-99.1393889
4980,3570,19.3108788,-99.1386972,19.3660806,-99.1393889
52765,52765,19.3860544,-99.28271629999999,19.3860544,-99.28271629999999
4000,6100,19.3486926,-99.16291310000001,19.4093682,-99.1719095
3100,5348,19.3813647,-99.16802390000001,19.3568681,-99.2756998
3810,3023,19.3943574,-99.17744619999999,19.393651,-99.14769079999999
10500,10200,19.3125794,-99.2362974,19.3271667,-99.22452369999999
11000,11910,19.420166,-99.2203687,19.3909815,-99.24391659999999
54023,54023,19.554643,-99.2266013,19.554643,-99.2266013
1010,1760,19.3611115,-99.19405859999999,19.3495394,-99.2044432
1810,5600,19.3381002,-99.2556931,19.3466476,-99.2757864
14050,3440,19.2947596,-99.16637310000002,19.3864947,-99.1435398
6100,6700,19.4093682,-99.1719095,19.4173639,-99.1594532
7000,15900,19.479936,-99.1165633,19.4142597,-99.1041157
4980,3570,19.3108788,-99.1386972,19.3660806,-99.1393889
3810,1700,19.3943574,-99.17744619999999,19.3418937,-99.22452369999999
11500,11220,19.4398745,-99.211348,19.448224,-99.21898379999999
11550,3100,19.4318149,-99.19405859999999,19.3813647,-99.16802390000001
11550,3100,19.4318149,-99.19405859999999,19.3813647,-99.16802390000001
52953,52945,19.5601814,-99.233527,19.5628438,-99.2390679
52784,25774,19.4201558,-99.2494583,23.634501,-102.552784
54473,54766,19.595363,-99.2799443,19.6185361,-99.2591571
6100,6100,19.4093682,-99.1719095,19.4093682,-99.1719095
6100,3810,19.4093682,-99.1719095,19.3943574,-99.17744619999999
1810,5600,19.3381002,-99.2556931,19.3466476,-99.2757864
3600,4340,19.3807458,-99.15530160000002,19.3390881,-99.18540589999999
54120,6400,19.5567665,-99.18505979999999,19.4468279,-99.1594532
3940,1030,19.3655292,-99.17952260000001,19.3559202,-99.1802147
6760,2680,19.405299,-99.16498910000001,19.4743995,-99.1604912
6400,6400,19.4468279,-99.1594532,19.4468279,-99.1594532
11520,11520,19.4409348,-99.18852079999999,19.4409348,-99.18852079999999
5120,6600,19.3904162,-99.25500029999999,19.4276061,-99.16083719999999
53129,53129,19.5133735,-99.2556931,19.5133735,-99.2556931
3330,4040,19.362511,-99.16637310000002,19.3458119,-99.146999
3330,4040,19.362511,-99.16637310000002,19.3458119,-99.146999
54020,52950,19.5500888,-99.214829,19.5688885,-99.2217537
5500,5330,19.3401429,-99.3094019,19.3563182,-99.2882606
3810,3810,19.3943574,-99.17744619999999,19.3943574,-99.17744619999999
52763,52783,19.3916612,-99.2882606,19.4222516,-99.2660856
3570,15990,19.3660806,-99.1393889,19.4127929,-99.1186381
5120,6600,19.3904162,-99.25500029999999,19.4276061,-99.16083719999999
11000,11560,19.420166,-99.2203687,19.4339168,-99.18787209999999
3800,7990,19.3880449,-99.185752,19.452751,-99.05641779999999
14449,14449,19.26994,-99.1840215,19.26994,-99.1840215
54020,52950,19.5500888,-99.214829,19.5688885,-99.2217537
11530,3023,19.4341982,-99.2051355,19.393651,-99.14769079999999
4530,3104,19.3057046,-99.18298329999999,19.3712091,-99.16914129999999
4530,3104,19.3057046,-99.18298329999999,19.3712091,-99.16914129999999
52966,52966,19.5652097,-99.26469980000002,19.5652097,-99.26469980000002
5500,5330,19.3401429,-99.3094019,19.3563182,-99.2882606
52760,52787,19.3618791,-99.35204759999999,19.4010652,-99.27717229999999
52760,52760,19.3618791,-99.35204759999999,19.3618791,-99.35204759999999
52937,52930,19.5691005,-99.30350949999999,19.5458167,-99.2979641
11520,11520,19.4409348,-99.18852079999999,19.4409348,-99.18852079999999
7730,3100,19.4925705,-99.1435398,19.3813647,-99.16802390000001
52989,52930,19.5368619,-99.2716288,19.5458167,-99.2979641
5120,6600,19.3904162,-99.25500029999999,19.4276061,-99.16083719999999
52774,52774,19.4223752,-99.29241909999999,19.4223752,-99.29241909999999
7000,3840,19.479936,-99.1165633,19.3877638,-99.1767541
7000,3840,19.479936,-99.1165633,19.3877638,-99.1767541
11230,11200,19.4574859,-99.2106745,19.4477344,-99.21413659999999
3020,3023,19.3940734,-99.1539178,19.393651,-99.14769079999999
6080,6080,19.4243045,-99.1368331,19.4243045,-99.1368331
52937,52930,19.5691005,-99.30350949999999,19.5458167,-99.2979641
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
6760,6100,19.405299,-99.16498910000001,19.4093682,-99.1719095
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
9780,4600,19.3176966,-99.06125540000001,19.3115869,-99.1539178
6080,6080,19.4243045,-99.1368331,19.4243045,-99.1368331
1180,6760,19.3868525,-99.19475090000002,19.405299,-99.16498910000001
5120,6600,19.3904162,-99.25500029999999,19.4276061,-99.16083719999999
3023,3020,19.393651,-99.14769079999999,19.3940734,-99.1539178
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
6500,6500,19.4301322,-99.16914129999999,19.4301322,-99.16914129999999
6700,6700,19.4173639,-99.1594532,19.4173639,-99.1594532
1330,1780,19.3698625,-99.26816420000002,19.3392293,-99.21898379999999
11550,11000,19.4318149,-99.19405859999999,19.420166,-99.2203687
9780,4600,19.3176966,-99.06125540000001,19.3115869,-99.1539178
1330,1330,19.3698625,-99.26816420000002,19.3698625,-99.26816420000002
4120,4870,19.3545104,-99.1497664,19.3169094,-99.1359301
14620,11650,19.2805888,-99.15530160000002,19.4313193,-99.21829129999999
1780,1780,19.3392293,-99.21898379999999,19.3392293,-99.21898379999999
6700,5310,19.4173639,-99.1594532,19.3617006,-99.2873943
3240,3240,19.3628631,-99.17398569999999,19.3628631,-99.17398569999999
7800,7800,19.4736233,-99.1248628,19.4736233,-99.1248628
11520,11520,19.4409348,-99.18852079999999,19.4409348,-99.18852079999999
1920,1020,23.634501,-102.552784,19.3585861,-99.185752
1020,1020,19.3585861,-99.185752,19.3585861,-99.185752
1330,52764,19.3698625,-99.26816420000002,19.379596,-99.2938053
1480,1600,19.3674239,-99.2002892,19.3658809,-99.2016738
1010,53950,19.3611115,-99.19405859999999,19.4193192,-99.23698999999999
57170,57170,19.4641835,-99.0488165,19.4641835,-99.0488165
1790,6140,19.3446999,-99.21275179999999,19.4149803,-99.17744619999999
4010,4010,19.3475023,-99.1719095,19.3475023,-99.1719095
11650,53950,19.4313193,-99.21829129999999,19.4193192,-99.23698999999999
6100,11520,19.4093682,-99.1719095,19.4409348,-99.18852079999999
4310,3800,19.341471,-99.1746778,19.3880449,-99.185752
4310,3800,19.341471,-99.1746778,19.3880449,-99.185752
52784,52774,19.4201558,-99.2494583,19.4223752,-99.29241909999999
4310,3800,19.341471,-99.1746778,19.3880449,-99.185752
6700,6140,19.4173639,-99.1594532,19.4149803,-99.17744619999999
3810,3810,19.3943574,-99.17744619999999,19.3943574,-99.17744619999999
6470,6500,19.4392516,-99.16360510000001,19.4301322,-99.16914129999999
6500,6470,19.4301322,-99.16914129999999,19.4392516,-99.16360510000001
1010,53950,19.3611115,-99.19405859999999,19.4193192,-99.23698999999999
5346,3023,23.634501,-102.552784,19.393651,-99.14769079999999
2950,54090,19.469769,-99.1573774,19.5262433,-99.19128970000001
52764,52779,19.379596,-99.2938053,19.4047023,-99.29241909999999
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
4370,14200,19.3371133,-99.1442316,19.2863543,-99.2162139
52930,52930,19.5458167,-99.2979641,19.5458167,-99.2979641
1499,11800,23.634501,-102.552784,19.4002495,-99.17744619999999
6700,6140,19.4173639,-99.1594532,19.4149803,-99.17744619999999
11529,1330,19.4431776,-99.2023662,19.3698625,-99.26816420000002
3023,3020,19.393651,-99.14769079999999,19.3940734,-99.1539178
52784,52774,19.4201558,-99.2494583,19.4223752,-99.29241909999999
54055,54055,19.5211744,-99.2328344,19.5211744,-99.2328344
11950,5120,19.4005243,-99.23006409999999,19.3904162,-99.25500029999999
52930,52930,19.5458167,-99.2979641,19.5458167,-99.2979641
3810,3810,19.3943574,-99.17744619999999,19.3943574,-99.17744619999999
1780,1780,19.3392293,-99.21898379999999,19.3392293,-99.21898379999999
1790,1790,19.3446999,-99.21275179999999,19.3446999,-99.21275179999999
53126,52989,19.5198851,-99.27232169999999,19.5368619,-99.2716288
53125,55120,19.5138612,-99.2605428,19.5419272,-99.0267076
14643,4710,19.2674154,-99.146653,19.3055613,-99.17121739999999
6760,6170,19.405299,-99.16498910000001,19.4089477,-99.1802147
6760,6170,19.405299,-99.16498910000001,19.4089477,-99.1802147
3230,3240,19.3684751,-99.17952260000001,19.3628631,-99.17398569999999
1010,53950,19.3611115,-99.19405859999999,19.4193192,-99.23698999999999
6100,11520,19.4093682,-99.1719095,19.4409348,-99.18852079999999
11800,3100,19.4002495,-99.17744619999999,19.3813647,-99.16802390000001
52784,52774,19.4201558,-99.2494583,19.4223752,-99.29241909999999
11000,11000,19.420166,-99.2203687,19.420166,-99.2203687
53950,52780,19.4193192,-99.23698999999999,19.4113186,-99.2494583
53250,53237,19.5014463,-99.2584643,19.4971691,-99.2556931
11000,11000,19.420166,-99.2203687,19.420166,-99.2203687
6760,6170,19.405299,-99.16498910000001,19.4089477,-99.1802147
6700,6700,19.4173639,-99.1594532,19.4173639,-99.1594532
11000,11000,19.420166,-99.2203687,19.420166,-99.2203687
3104,3100,19.3712091,-99.16914129999999,19.3813647,-99.16802390000001
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
3103,6700,19.3968781,-99.16553449999999,19.4173639,-99.1594532
6760,6170,19.405299,-99.16498910000001,19.4089477,-99.1802147
1010,53950,19.3611115,-99.19405859999999,19.4193192,-99.23698999999999
52784,52774,19.4201558,-99.2494583,19.4223752,-99.29241909999999
52764,52779,19.379596,-99.2938053,19.4047023,-99.29241909999999
5600,5600,19.3466476,-99.2757864,19.3466476,-99.2757864
6170,6100,19.4089477,-99.1802147,19.4093682,-99.1719095
6100,6100,19.4093682,-99.1719095,19.4093682,-99.1719095
54750,52930,19.6407547,-99.19959689999999,19.5458167,-99.2979641
53250,53237,19.5014463,-99.2584643,19.4971691,-99.2556931
4718,4700,23.634501,-102.552784,19.3092084,-99.1719095
6140,3200,19.4149803,-99.17744619999999,19.3768213,-99.1746778
10200,4710,19.3271667,-99.22452369999999,19.3055613,-99.17121739999999
1780,1780,19.3392293,-99.21898379999999,19.3392293,-99.21898379999999
3023,3660,19.393651,-99.14769079999999,19.3754117,-99.1442316
14643,4710,19.2674154,-99.146653,19.3055613,-99.17121739999999
7300,7300,19.4939722,-99.1303962,19.4939722,-99.1303962
52783,52763,19.4222516,-99.2660856,19.3916612,-99.2882606
11550,1020,19.4318149,-99.19405859999999,19.3585861,-99.185752
6600,6100,19.4276061,-99.16083719999999,19.4093682,-99.1719095
11000,11000,19.420166,-99.2203687,19.420166,-99.2203687
11529,1330,19.4431776,-99.2023662,19.3698625,-99.26816420000002
53250,53237,19.5014463,-99.2584643,19.4971691,-99.2556931
6700,6100,19.4173639,-99.1594532,19.4093682,-99.1719095
5129,1219,19.3929373,-99.2633141,19.3870901,-99.2407996
6500,11550,19.4301322,-99.16914129999999,19.4318149,-99.19405859999999
1030,1030,19.3559202,-99.1802147,19.3559202,-99.1802147
14643,4710,19.2674154,-99.146653,19.3055613,-99.17121739999999
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
4710,4530,19.3055613,-99.17121739999999,19.3057046,-99.18298329999999
6500,11550,19.4301322,-99.16914129999999,19.4318149,-99.19405859999999
6500,11550,19.4301322,-99.16914129999999,19.4318149,-99.19405859999999
10200,4710,19.3271667,-99.22452369999999,19.3055613,-99.17121739999999
11800,11800,19.4002495,-99.17744619999999,19.4002495,-99.17744619999999
3020,6030,19.3940734,-99.1539178,19.4360237,-99.1546097
3020,3650,19.3940734,-99.1539178,19.3756251,-99.1546097
6700,6140,19.4173639,-99.1594532,19.4149803,-99.17744619999999
6600,6600,19.4276061,-99.16083719999999,19.4276061,-99.16083719999999
53250,53237,19.5014463,-99.2584643,19.4971691,-99.2556931
5500,5118,19.3401429,-99.3094019,19.3827372,-99.25396119999999
3900,3900,19.3674235,-99.185752,19.3674235,-99.185752
11560,11590,19.4339168,-99.18787209999999,19.4326577,-99.17744619999999
5129,52789,19.3929373,-99.2633141,19.3885825,-99.2764794
3103,3103,19.3968781,-99.16553449999999,19.3968781,-99.16553449999999
11529,6760,19.4431776,-99.2023662,19.405299,-99.16498910000001
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
52930,52774,19.5458167,-99.2979641,19.4223752,-99.29241909999999
8011,10409,23.634501,-102.552784,23.634501,-102.552784
54750,52930,19.6407547,-99.19959689999999,19.5458167,-99.2979641
54750,52930,19.6407547,-99.19959689999999,19.5458167,-99.2979641
1030,1030,19.3559202,-99.1802147,19.3559202,-99.1802147
11529,6760,19.4431776,-99.2023662,19.405299,-99.16498910000001
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
5348,5348,19.3568681,-99.2756998,19.3568681,-99.2756998
3020,4620,19.3940734,-99.1539178,19.3225231,-99.1414643
6600,3810,19.4276061,-99.16083719999999,19.3943574,-99.17744619999999
53125,55120,19.5138612,-99.2605428,19.5419272,-99.0267076
52930,52774,19.5458167,-99.2979641,19.4223752,-99.29241909999999
53250,53237,19.5014463,-99.2584643,19.4971691,-99.2556931
6040,6700,19.4269824,-99.1519716,19.4173639,-99.1594532
3100,6600,19.3813647,-99.16802390000001,19.4276061,-99.16083719999999
6100,6100,19.4093682,-99.1719095,19.4093682,-99.1719095
7290,3104,19.5290566,-99.1359301,19.3712091,-99.16914129999999
52989,53129,19.5368619,-99.2716288,19.5133735,-99.2556931
50989,53120,23.634501,-102.552784,19.5097158,-99.26955
52989,53129,19.5368619,-99.2716288,19.5133735,-99.2556931
14643,4710,19.2674154,-99.146653,19.3055613,-99.17121739999999
4710,4530,19.3055613,-99.17121739999999,19.3057046,-99.18298329999999
6500,11000,19.4301322,-99.16914129999999,19.420166,-99.2203687
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
5348,1210,19.3568681,-99.2756998,19.382987,-99.2418386
6600,6100,19.4276061,-99.16083719999999,19.4093682,-99.1719095
3103,3103,19.3968781,-99.16553449999999,19.3968781,-99.16553449999999
1210,1210,19.382987,-99.2418386,19.382987,-99.2418386
3020,3020,19.3940734,-99.1539178,19.3940734,-99.1539178
6760,6760,19.405299,-99.16498910000001,19.405299,-99.16498910000001
6100,6100,19.4093682,-99.1719095,19.4093682,-99.1719095
4100,4100,19.3538129,-99.16360510000001,19.3538129,-99.16360510000001
11529,6760,19.4431776,-99.2023662,19.405299,-99.16498910000001
3020,4620,19.3940734,-99.1539178,19.3225231,-99.1414643
16020,1020,19.271182,-99.1373136,19.3585861,-99.185752
1810,1210,19.3381002,-99.2556931,19.382987,-99.2418386
52774,52774,19.4223752,-99.29241909999999,19.4223752,-99.29241909999999
6500,11540,19.4301322,-99.16914129999999,19.4315336,-99.19959689999999
6500,11000,19.4301322,-99.16914129999999,19.420166,-99.2203687
1210,5349,19.382987,-99.2418386,23.634501,-102.552784
5500,5500,19.3401429,-99.3094019,19.3401429,-99.3094019
3650,4369,19.3756251,-99.1546097,19.3287038,-99.16498910000001
6760,6760,19.405299,-99.16498910000001,19.405299,-99.16498910000001
5348,1210,19.3568681,-99.2756998,19.382987,-99.2418386
11520,53310,19.4409348,-99.18852079999999,19.4881337,-99.23075659999999
1810,11000,19.3381002,-99.2556931,19.420166,-99.2203687
5348,5348,19.3568681,-99.2756998,19.3568681,-99.2756998
3103,3103,19.3968781,-99.16553449999999,19.3968781,-99.16553449999999
6100,6100,19.4093682,-99.1719095,19.4093682,-99.1719095
3103,3103,19.3968781,-99.16553449999999,19.3968781,-99.16553449999999
3020,4620,19.3940734,-99.1539178,19.3225231,-99.1414643
5500,5500,19.3401429,-99.3094019,19.3401429,-99.3094019
1210,1210,19.382987,-99.2418386,19.382987,-99.2418386
11910,52770,19.3909815,-99.24391659999999,19.4281431,-99.2660856
52774,53126,19.4223752,-99.29241909999999,19.5198851,-99.27232169999999
6760,6760,19.405299,-99.16498910000001,19.405299,-99.16498910000001
16020,1020,19.271182,-99.1373136,19.3585861,-99.185752
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
53100,54080,19.5077027,-99.23698999999999,19.5203389,-99.2203687
14376,4369,19.2932045,-99.1386972,19.3287038,-99.16498910000001
3020,3020,19.3940734,-99.1539178,19.3940734,-99.1539178
3020,3020,19.3940734,-99.1539178,19.3940734,-99.1539178
6100,1180,19.4093682,-99.1719095,19.3868525,-99.19475090000002
11590,11590,19.4326577,-99.17744619999999,19.4326577,-99.17744619999999
5500,5500,19.3401429,-99.3094019,19.3401429,-99.3094019
7620,54150,19.5250552,-99.17121739999999,19.538595,-99.1802147
3440,3023,19.3864947,-99.1435398,19.393651,-99.14769079999999
11520,11520,19.4409348,-99.18852079999999,19.4409348,-99.18852079999999
5500,11560,19.3401429,-99.3094019,19.4339168,-99.18787209999999
6700,11850,19.4173639,-99.1594532,19.4114729,-99.18852079999999
5500,5500,19.3401429,-99.3094019,19.3401429,-99.3094019
6400,6700,19.4468279,-99.1594532,19.4173639,-99.1594532
1010,6700,19.3611115,-99.19405859999999,19.4173639,-99.1594532
6500,11850,19.4301322,-99.16914129999999,19.4114729,-99.18852079999999
52787,52787,19.4010652,-99.27717229999999,19.4010652,-99.27717229999999
53100,53100,19.5077027,-99.23698999999999,19.5077027,-99.23698999999999
16020,1020,19.271182,-99.1373136,19.3585861,-99.185752
52774,52779,19.4223752,-99.29241909999999,19.4047023,-99.29241909999999
16020,1020,19.271182,-99.1373136,19.3585861,-99.185752
3100,3100,19.3813647,-99.16802390000001,19.3813647,-99.16802390000001
52938,52938,19.574132,-99.3201479,19.574132,-99.3201479
14376,14357,19.2932045,-99.1386972,19.2934821,-99.13316309999999
3330,3330,19.362511,-99.16637310000002,19.362511,-99.16637310000002
